cuenta_id,fecha,transaccion,monto,descripcion
117,2024-03-15,deposito,1500,Compra en tienda
107,2024-12-07,retiro,2000,Retiro parcial
104,2024/08/07,retiro,1500,Ingreso extra
112,08/11/2024,depósito,1000,Ingreso navideño
104,2024/02/10,compra,-100,Compra en tienda
101,19/06/2024,deposito,1500,Ingreso mensual
112,2024-06-21,deposito,3000,
109,2024-03-20,compra,0,Ingreso mensual
119,2024/02/20,retiro,1000,
117,2024/03/19,retiro,-500,Retiro parcial
104,2024/06/14,compra,3000,
117,2024/10/10,retiro,,
109,23/11/2024,compra,1000,Ingreso extra
113,12-05-2024,compra,-100,Ingreso navideño
108,2024-10-01,deposito,0,Retiro parcial
103,2024/01/02,compra,,Ingreso mensual
118,2024/02/08,compra,1000,Ingreso navideño
119,2024-06-06,retiro,1500,Ingreso mensual
109,2024-01-23,deposito,3000,Compra en tienda
105,2024/10/02,retiro,-500,Ingreso mensual
118,2024-03-18,compra,0,Ingreso de fin de año
105,21/02/2024,deposito,1000,Ingreso mensual
111,02/04/2024,depósito,-500,Ingreso de fin de año
117,26/08/2024,pago,-500,Ingreso mensual
111,2024/02/07,pago,1000,Retiro parcial
107,2024-11-10,deposito,2000,
101,2024-10-19,deposito,1000,Ingreso navideño
105,2024/10/17,retiro,-500,
114,2024/10/26,depósito,1000,Ingreso extra
116,22-12-2024,compra,0,Ingreso de fin de año
104,07/03/2024,deposito,-100,Ingreso de fin de año
106,31-08-2024,deposito,-500,
112,08/06/2024,deposito,1500,Compra en tienda
106,2024/04/11,deposito,1000,Ingreso navideño
116,2024-08-23,retiro,-500,Retiro parcial
120,07/09/2024,deposito,2500,Ingreso navideño
117,2024-10-25,deposito,0,
110,12-01-2024,deposito,-500,Ingreso de fin de año
109,2024-04-04,depósito,2000,
108,2024-01-19,deposito,,Ingreso mensual
106,2024/09/30,deposito,-1000,Compra en tienda
110,10/02/2024,compra,-500,Ingreso navideño
103,27/05/2024,retiro,2500,Compra en tienda
112,21/05/2024,deposito,3000,Ingreso mensual
103,24/12/2024,retiro,,
103,25-08-2024,deposito,1000,
108,11/07/2024,compra,-100,Ingreso mensual
114,11/10/2024,deposito,2500,Ingreso navideño
111,21-08-2024,deposito,2500,Ingreso mensual
112,23-02-2024,compra,2000,Ingreso mensual
110,30/06/2024,pago,2000,Retiro parcial
115,25/09/2024,retiro,-100,Ingreso mensual
104,2024-07-30,compra,1000,Retiro parcial
107,2024-08-31,compra,,
103,2024/10/15,retiro,,Retiro parcial
109,28/07/2024,retiro,2500,Retiro parcial
119,2024-03-07,deposito,3000,Ingreso mensual
118,2024/03/01,deposito,1500,Retiro parcial
120,2024/02/13,retiro,2000,
111,25/10/2024,compra,1000,Ingreso mensual
117,2024/10/16,deposito,1500,Ingreso extra
107,2024/03/03,compra,1000,Compra en tienda
117,2024/09/14,compra,-500,Retiro parcial
118,2024-10-13,deposito,3000,Retiro parcial
105,2024/02/15,deposito,-500,Retiro parcial
108,05/10/2024,compra,1000,Retiro parcial
117,29-08-2024,retiro,-500,Compra en tienda
103,07-07-2024,deposito,2000,Retiro parcial
110,2024/09/18,compra,2000,Ingreso de fin de año
112,2024-10-06,retiro,-100,Compra en tienda
120,06-02-2024,compra,0,Ingreso navideño
102,2024-10-14,compra,0,Ingreso extra
110,18/06/2024,retiro,2500,Ingreso de fin de año
114,2024-12-28,retiro,2500,Ingreso navideño
107,2024/01/15,compra,2500,Ingreso de fin de año
119,30-12-2024,retiro,0,Compra en tienda
114,02-03-2024,compra,2500,Ingreso navideño
111,27-05-2024,retiro,-100,Ingreso de fin de año
113,28/06/2024,compra,-100,Ingreso extra
103,03/08/2024,deposito,2000,Ingreso de fin de año
107,2024-04-30,compra,0,Ingreso mensual
114,2024-09-21,depósito,1500,Retiro parcial
116,20-12-2024,compra,3000,Ingreso mensual
110,2024-06-18,compra,3000,
119,26/01/2024,deposito,-500,
103,2024/01/27,pago,-500,Ingreso de fin de año
120,2024/09/17,compra,,Ingreso de fin de año
104,01-02-2024,pago,1000,
116,2024-05-20,compra,0,Ingreso de fin de año
108,2024-05-23,retiro,1000,Retiro parcial
118,17/12/2024,retiro,2500,Ingreso extra
118,20/09/2024,deposito,1000,Retiro parcial
119,2024-10-22,retiro,3000,Ingreso extra
118,18/10/2024,compra,-500,Compra en tienda
107,2024/04/12,deposito,2500,Ingreso extra
120,2024-01-24,compra,1500,Ingreso de fin de año
113,01-04-2024,deposito,2500,Ingreso de fin de año
101,30/03/2024,compra,-100,Ingreso extra
112,11-11-2024,deposito,-100,Ingreso de fin de año
117,2024-12-11,depósito,2000,Ingreso navideño
118,05-04-2024,retiro,1500,Ingreso extra
118,2024/04/18,compra,-500,
105,2024/08/30,deposito,3000,Ingreso navideño
106,2024/02/26,deposito,2000,
115,2024-11-07,depósito,1000,Retiro parcial
118,28/08/2024,deposito,2000,Ingreso extra
115,29/10/2024,pago,2500,Retiro parcial
118,13-08-2024,pago,2500,Compra en tienda
102,2024/04/04,deposito,,Compra en tienda
108,2024-07-25,deposito,1500,Ingreso de fin de año
117,2024/01/30,depósito,3000,Ingreso navideño
107,2024/02/03,retiro,2000,Ingreso extra
107,2024/01/11,compra,2500,Retiro parcial
108,2024-08-25,deposito,-100,Retiro parcial
119,2024/05/30,compra,-500,
118,09-01-2024,deposito,-500,
113,2024/09/02,compra,3000,Ingreso extra
111,2024-06-25,retiro,2500,Ingreso extra
106,2024/02/29,deposito,1500,
117,15/05/2024,retiro,,Retiro parcial
119,23/11/2024,compra,1000,Compra en tienda
110,2024/10/27,deposito,2000,Retiro parcial
115,2024/04/09,deposito,-100,Retiro parcial
102,2024/10/30,depósito,0,Ingreso de fin de año
103,13/09/2024,compra,2500,Ingreso extra
111,2024/01/29,compra,0,Compra en tienda
115,16-04-2024,depósito,1000,Ingreso de fin de año
110,2024/10/06,compra,1500,Ingreso extra
103,20-09-2024,compra,2000,Retiro parcial
104,31-01-2024,compra,1000,Ingreso extra
116,2024/08/26,pago,2000,Ingreso extra
110,30/06/2024,retiro,3000,Ingreso extra
109,27/03/2024,deposito,2500,
102,29/02/2024,retiro,-500,Retiro parcial
102,29-02-2024,compra,1000,Ingreso mensual
113,2024/09/27,compra,1000,Compra en tienda
107,09/02/2024,depósito,2000,Retiro parcial
119,2024-12-05,deposito,1000,Retiro parcial
101,2024-05-04,compra,,Ingreso de fin de año
103,12/02/2024,deposito,-500,Ingreso extra
120,13-03-2024,compra,-500,Retiro parcial
115,23-02-2024,retiro,0,Compra en tienda
103,15-05-2024,compra,1000,Compra en tienda
110,2024-08-07,deposito,-100,Retiro parcial
102,08/01/2024,compra,3000,Ingreso extra
115,2024-10-19,retiro,-100,Retiro parcial
104,09/08/2024,compra,1500,Ingreso extra
107,20-01-2024,compra,0,Ingreso extra
108,08/07/2024,retiro,1500,
110,29/01/2024,compra,1000,Ingreso de fin de año
112,08/11/2024,deposito,0,Ingreso mensual
117,2024/07/31,compra,-500,Ingreso navideño
110,14-06-2024,depósito,1500,Retiro parcial
119,06/02/2024,retiro,,Ingreso de fin de año
101,2024-09-05,compra,-100,Ingreso navideño
118,2024-02-21,retiro,2000,Ingreso extra
107,2024-09-01,deposito,1500,Ingreso extra
118,15-10-2024,retiro,1500,Ingreso extra
119,06/01/2024,deposito,2000,Retiro parcial
105,2024/09/13,deposito,1000,Retiro parcial
115,2024/01/02,retiro,3000,Ingreso de fin de año
113,2024/02/06,retiro,0,Ingreso de fin de año
104,27/03/2024,compra,1500,
114,2024/01/23,compra,1000,Compra en tienda
114,03/07/2024,compra,1500,Ingreso de fin de año
102,10-01-2024,compra,3000,Ingreso mensual
113,2024/05/12,deposito,2500,Retiro parcial
110,12-11-2024,retiro,2000,
117,29-07-2024,retiro,-100,Retiro parcial
111,2024/09/25,compra,2500,Retiro parcial
106,2024/08/10,deposito,1000,
106,2024/09/13,retiro,0,Retiro parcial
118,05/08/2024,deposito,2000,Compra en tienda
108,07/08/2024,compra,0,Ingreso extra
107,08-07-2024,retiro,1500,Ingreso extra
113,2024/08/10,compra,2500,Compra en tienda
106,13-05-2024,compra,1000,
111,2024/02/04,deposito,2500,
116,24-12-2024,retiro,1500,Ingreso de fin de año
108,2024/01/21,deposito,0,Ingreso navideño
106,2024-12-29,compra,-500,
106,06-03-2024,retiro,-500,Ingreso de fin de año
109,2024-05-31,deposito,2500,Ingreso de fin de año
114,2024/10/09,depósito,-100,Ingreso navideño
109,06/01/2024,compra,2000,Ingreso navideño
113,12-02-2024,retiro,1500,
117,12/01/2024,compra,1000,Ingreso extra
119,2024/07/21,retiro,0,Ingreso de fin de año
119,24/05/2024,compra,-100,Ingreso de fin de año
101,2024-06-29,deposito,1000,Ingreso navideño
108,2024-04-21,retiro,-100,
120,09/01/2024,compra,1500,
107,04/01/2024,deposito,1000,Retiro parcial
106,2024/10/24,retiro,3000,Retiro parcial
107,2024/06/14,deposito,1500,Ingreso mensual
109,11/02/2024,pago,3000,Ingreso de fin de año
103,2024/06/01,retiro,3000,
101,2024-02-06,retiro,-500,Retiro parcial
119,2024/08/24,compra,3000,Compra en tienda
115,2024-03-20,pago,1500,Ingreso navideño
110,2024/09/02,deposito,0,Ingreso mensual
106,14/04/2024,pago,0,Compra en tienda
106,2024/12/05,deposito,3000,Ingreso mensual
119,05-06-2024,deposito,1500,Retiro parcial
102,2024-05-18,compra,1000,
117,30-07-2024,compra,3000,
119,2024/12/12,deposito,2000,Ingreso mensual
107,2024/02/17,retiro,,Compra en tienda
106,22/10/2024,pago,0,Compra en tienda
103,20/03/2024,deposito,1500,
110,28/12/2024,retiro,2500,
108,29-10-2024,deposito,1000,Ingreso navideño
107,2024/02/08,retiro,0,Ingreso extra
113,2024/09/30,pago,2500,Ingreso navideño
119,2024/03/09,deposito,1500,Ingreso de fin de año
118,06/04/2024,deposito,1500,Ingreso mensual
120,26/08/2024,compra,1000,Ingreso mensual
114,2024/12/10,retiro,-500,
115,2024-04-26,retiro,1000,
112,10/03/2024,retiro,-500,Ingreso extra
118,01/12/2024,retiro,3000,Ingreso de fin de año
102,26-02-2024,retiro,0,
111,14-10-2024,pago,1500,Retiro parcial
104,2024-03-11,compra,0,Ingreso navideño
110,2024-10-22,retiro,-500,
114,2024-11-02,retiro,-100,Retiro parcial
114,2024/01/12,compra,1500,Ingreso extra
111,28/01/2024,compra,2000,Ingreso mensual
109,2024-03-02,retiro,2000,Ingreso mensual
114,2024/02/03,compra,1500,Ingreso navideño
105,05/02/2024,compra,-500,Ingreso de fin de año
116,06-08-2024,depósito,2500,
112,2024-01-11,deposito,1500,Ingreso extra
103,19-11-2024,pago,3000,Ingreso navideño
104,24/10/2024,compra,2000,Ingreso navideño
101,09/02/2024,deposito,2000,Retiro parcial
116,29-12-2024,retiro,1000,Compra en tienda
102,07/01/2024,compra,3000,Retiro parcial
102,08-09-2024,depósito,-100,Ingreso de fin de año
118,2024-10-06,retiro,0,Ingreso extra
101,28/11/2024,compra,1000,Ingreso de fin de año
111,19-05-2024,compra,2000,Compra en tienda
111,11-09-2024,deposito,1000,
103,2024/04/16,retiro,-500,Compra en tienda
105,2024/01/08,compra,1500,Compra en tienda
101,03-02-2024,deposito,0,Ingreso mensual
111,2024-03-23,depósito,-500,Ingreso de fin de año
108,24/10/2024,retiro,0,
117,13/06/2024,compra,3000,Ingreso extra
110,16-07-2024,retiro,-500,Ingreso de fin de año
112,13/05/2024,deposito,1500,Compra en tienda
112,2024-09-15,deposito,-100,Ingreso navideño
114,16-06-2024,deposito,,Ingreso extra
120,30/04/2024,compra,1000,Ingreso mensual
115,2024-11-27,compra,-100,Ingreso navideño
111,2024-02-06,compra,-500,Retiro parcial
115,02/04/2024,retiro,3000,Ingreso navideño
119,06-01-2024,compra,1000,Ingreso de fin de año
116,18/10/2024,deposito,1500,Compra en tienda
115,23/06/2024,pago,-500,
117,2024-04-15,deposito,1500,
109,03-09-2024,deposito,3000,Ingreso extra
107,2024/08/18,deposito,1500,Ingreso de fin de año
107,2024/09/06,compra,1500,Ingreso extra
102,2024/02/10,retiro,1000,Ingreso extra
105,14-09-2024,deposito,-1000,Ingreso de fin de año
102,2024/07/01,pago,-100,Ingreso extra
116,14-06-2024,compra,2000,Ingreso extra
109,2024/04/16,compra,-500,
117,30-01-2024,compra,-500,Ingreso navideño
113,2024/10/10,deposito,1000,Ingreso navideño
119,2024/01/07,compra,-100,Ingreso de fin de año
102,14-11-2024,compra,1000,
110,19/10/2024,deposito,-500,Ingreso de fin de año
114,03/07/2024,compra,-500,Ingreso navideño
113,2024-02-02,compra,3000,
110,2024-03-16,compra,2500,Retiro parcial
110,02/03/2024,deposito,2500,
104,26-03-2024,deposito,0,Compra en tienda
104,2024/06/28,compra,2000,Ingreso mensual
113,29/04/2024,deposito,1000,Retiro parcial
114,2024/12/28,depósito,3000,Ingreso mensual
118,2024/09/18,retiro,1500,Compra en tienda
101,2024/02/03,pago,-500,Compra en tienda
114,2024/02/23,compra,2000,Retiro parcial
101,2024-04-16,compra,2000,
108,2024-05-02,deposito,-500,Ingreso extra
104,09/01/2024,retiro,3000,
101,2024-05-03,compra,2500,Retiro parcial
114,20/12/2024,retiro,1500,Retiro parcial
117,29/04/2024,retiro,-500,Ingreso de fin de año
103,12-05-2024,deposito,2500,Ingreso navideño
108,13-02-2024,compra,3000,Ingreso de fin de año
109,2024-05-13,retiro,0,Ingreso navideño
118,29-03-2024,deposito,,Ingreso extra
112,11/03/2024,deposito,0,
102,2024-01-25,compra,1000,Ingreso de fin de año
106,01-08-2024,deposito,3000,
120,25-09-2024,pago,-100,Ingreso de fin de año
117,2024/10/19,deposito,2000,Ingreso de fin de año
113,04/02/2024,pago,2500,Ingreso navideño
117,2024-01-04,compra,2000,Ingreso de fin de año
110,02-04-2024,compra,2500,Retiro parcial
107,2024/11/21,compra,1000,
116,2024-12-24,deposito,0,Ingreso mensual
117,2024/08/20,compra,1500,
103,29/11/2024,deposito,3000,Ingreso extra
101,05/10/2024,retiro,0,Ingreso de fin de año
104,2024-09-25,deposito,2500,
119,23-03-2024,deposito,3000,
115,2024-12-08,retiro,-100,Ingreso mensual
107,07/02/2024,retiro,-100,
105,2024/03/13,pago,1500,Ingreso de fin de año
116,2024/06/17,compra,2000,Ingreso mensual
108,2024/09/14,compra,3000,Ingreso de fin de año
120,2024/05/01,compra,2000,Ingreso extra
114,2024-03-30,deposito,2500,Ingreso de fin de año
104,2024-01-30,retiro,3000,Retiro parcial
103,18-03-2024,deposito,2000,Ingreso navideño
113,30-04-2024,deposito,2500,Compra en tienda
101,30/06/2024,compra,1000,Ingreso navideño
109,11-05-2024,compra,2500,Retiro parcial
113,2024-07-20,depósito,2000,Ingreso navideño
108,2024-01-19,depósito,-100,
105,2024-01-22,compra,-100,Ingreso navideño
108,25/02/2024,retiro,2000,Ingreso mensual
107,02-09-2024,pago,3000,
119,20-01-2024,compra,0,Ingreso mensual
117,25-03-2024,compra,1000,Ingreso extra
101,2024/03/27,compra,2000,Ingreso navideño
105,2024/07/07,compra,1000,Ingreso extra
119,2024/07/08,compra,2500,Retiro parcial
109,08/08/2024,compra,2000,Ingreso mensual
116,10/03/2024,compra,2000,Ingreso extra
106,2024/04/03,deposito,-500,
108,16-12-2024,deposito,1000,Compra en tienda
103,2024-07-12,deposito,1500,Ingreso mensual
103,2024-10-07,deposito,2500,Ingreso de fin de año
114,22-08-2024,deposito,1500,Ingreso de fin de año
115,2024-02-09,compra,-500,Ingreso extra
109,2024-02-03,retiro,1500,Retiro parcial
104,2024-04-29,retiro,,
110,2024/10/04,compra,2000,Ingreso de fin de año
107,2024/11/12,deposito,3000,Ingreso navideño
104,2024-06-12,deposito,2500,Ingreso extra
115,2024/07/11,depósito,2500,
107,09-06-2024,pago,2000,Compra en tienda
105,17-02-2024,compra,-100,Ingreso mensual
101,2024-02-25,deposito,1000,
101,27/08/2024,depósito,2500,Ingreso mensual
107,2024/04/29,deposito,0,Ingreso mensual
113,28-01-2024,deposito,2500,Ingreso de fin de año
120,2024/04/22,retiro,1500,Compra en tienda
107,2024-10-13,compra,0,Ingreso extra
106,2024-04-12,deposito,1000,Retiro parcial
119,2024/06/14,compra,-500,Compra en tienda
116,06-04-2024,deposito,3000,Retiro parcial
115,2024/04/01,retiro,-100,
103,20-07-2024,compra,3000,Compra en tienda
116,18-01-2024,deposito,1500,Compra en tienda
113,2024/12/29,retiro,0,Ingreso extra
111,03-05-2024,retiro,-500,Retiro parcial
111,11-08-2024,compra,1000,Ingreso navideño
108,2024/10/28,deposito,3000,Ingreso extra
111,2024-08-07,retiro,-100,
108,11-07-2024,retiro,1000,
102,25/03/2024,retiro,0,Ingreso navideño
104,2024/12/05,compra,-500,Ingreso mensual
107,2024/07/02,retiro,2500,Ingreso extra
104,2024-10-10,compra,-500,Ingreso extra
113,2024/11/15,depósito,-500,
118,2024-10-13,compra,2500,Ingreso mensual
111,2024-01-07,deposito,-100,Ingreso mensual
101,05/03/2024,compra,1500,Retiro parcial
111,2024-04-12,retiro,2500,Ingreso mensual
118,20/01/2024,deposito,-100,
107,10-01-2024,retiro,3000,
118,2024-11-16,deposito,3000,
110,2024-01-29,deposito,0,Retiro parcial
105,2024/06/30,deposito,-100,Ingreso de fin de año
105,29/02/2024,compra,2000,Ingreso de fin de año
116,2024-04-10,deposito,1500,Ingreso extra
116,26-12-2024,retiro,,Ingreso navideño
118,2024-05-05,retiro,1500,Compra en tienda
112,02-09-2024,deposito,1000,
119,2024/01/22,compra,1000,Ingreso de fin de año
110,18-09-2024,retiro,2500,Compra en tienda
108,2024-01-24,compra,3000,Compra en tienda
114,2024-08-26,compra,3000,Compra en tienda
117,24/11/2024,compra,,Ingreso extra
111,25-06-2024,compra,0,Ingreso navideño
112,2024/03/21,depósito,-100,Compra en tienda
112,2024-05-11,compra,2000,Compra en tienda
110,28/06/2024,deposito,2500,Ingreso mensual
119,2024/12/19,retiro,1500,Ingreso extra
105,18-03-2024,retiro,2000,Ingreso mensual
119,12/04/2024,deposito,1000,Compra en tienda
107,2024/10/19,retiro,-100,Compra en tienda
110,26-01-2024,compra,0,Compra en tienda
120,2024/12/09,retiro,0,Retiro parcial
106,2024-11-10,compra,0,
110,2024/12/02,pago,1500,Retiro parcial
119,27/02/2024,pago,2000,Compra en tienda
116,2024-01-08,retiro,2500,Ingreso navideño
106,2024/07/04,compra,2500,Ingreso de fin de año
108,2024/04/22,compra,-500,Ingreso mensual
107,22/06/2024,retiro,1500,Ingreso mensual
110,10/08/2024,compra,2000,Ingreso de fin de año
113,2024-11-29,compra,2000,
117,14/01/2024,compra,,
110,22/06/2024,deposito,2000,
117,2024-12-03,deposito,0,Ingreso de fin de año
102,15/09/2024,pago,1000,Retiro parcial
115,2024-07-02,retiro,2000,
105,2024-07-23,compra,-500,Ingreso de fin de año
114,2024-06-28,compra,0,Retiro parcial
107,2024-10-09,deposito,,Ingreso navideño
103,2024-12-24,compra,1500,Ingreso de fin de año
114,20-03-2024,deposito,1500,
117,07/02/2024,retiro,1000,Ingreso de fin de año
105,2024-12-28,retiro,2500,Ingreso de fin de año
104,2024/02/20,pago,3000,Compra en tienda
117,2024-01-09,retiro,1000,Compra en tienda
116,18/03/2024,compra,-100,Retiro parcial
107,2024-04-20,retiro,-100,
102,2024/05/08,compra,-500,Retiro parcial
102,30/11/2024,compra,-500,Retiro parcial
105,07/09/2024,depósito,-500,Compra en tienda
114,24-06-2024,compra,0,Compra en tienda
119,2024-03-08,compra,1500,Compra en tienda
120,2024/02/02,retiro,-1000,Retiro parcial
113,03-12-2024,deposito,3000,Retiro parcial
101,2024/12/19,compra,1500,Retiro parcial
111,21/02/2024,retiro,-1000,Retiro parcial
103,14/10/2024,deposito,-100,Ingreso mensual
111,26-09-2024,compra,1000,Ingreso mensual
111,2024-09-22,deposito,1500,Ingreso extra
101,2024/05/18,retiro,2000,
116,12/12/2024,deposito,,
104,22/05/2024,compra,1500,
110,2024/07/17,deposito,3000,Ingreso extra
107,04/12/2024,retiro,3000,Retiro parcial
117,2024/05/22,retiro,1500,Compra en tienda
108,30-12-2024,compra,,Retiro parcial
113,2024-12-24,compra,-100,Ingreso navideño
120,28-02-2024,deposito,3000,Ingreso mensual
120,25/05/2024,compra,3000,Ingreso mensual
110,26-04-2024,compra,2500,Ingreso mensual
120,25-04-2024,depósito,1000,Ingreso mensual
103,20/04/2024,deposito,0,Ingreso de fin de año
118,13-04-2024,deposito,1000,Ingreso extra
116,2024-10-16,compra,3000,
101,2024/02/25,compra,3000,Retiro parcial
104,2024/09/02,retiro,2500,Ingreso extra
115,09/03/2024,deposito,,
110,13/06/2024,deposito,1500,Compra en tienda
103,28-09-2024,retiro,-500,Ingreso mensual
102,2024/12/20,deposito,1500,Ingreso mensual
101,12-02-2024,retiro,2500,Retiro parcial
102,10/03/2024,compra,2500,Retiro parcial
101,2024/03/15,retiro,3000,Ingreso extra
109,2024-05-11,retiro,1500,Ingreso de fin de año
115,30-09-2024,retiro,2500,Ingreso extra
110,01-12-2024,compra,-100,Ingreso de fin de año
112,26-03-2024,retiro,1000,Compra en tienda
111,2024/08/12,retiro,3000,Ingreso de fin de año
112,25-08-2024,retiro,,Ingreso extra
115,25-12-2024,compra,1000,Retiro parcial
109,2024/12/28,deposito,2500,Ingreso extra
113,2024/08/10,retiro,1500,Compra en tienda
109,04-11-2024,retiro,-500,Ingreso navideño
109,2024-10-31,deposito,1000,Ingreso navideño
118,2024/11/26,retiro,0,Ingreso mensual
101,2024-02-15,compra,-100,Ingreso de fin de año
101,12/05/2024,deposito,1000,
109,24-07-2024,retiro,,Compra en tienda
108,2024/07/08,retiro,-500,Ingreso de fin de año
108,2024/05/04,retiro,2500,Retiro parcial
109,2024/08/12,retiro,0,Ingreso mensual
112,2024/04/29,deposito,2000,Retiro parcial
103,01/10/2024,retiro,1500,Retiro parcial
110,30/03/2024,deposito,1500,Ingreso de fin de año
109,2024-10-31,deposito,3000,Retiro parcial
103,09/07/2024,compra,1500,Ingreso navideño
103,2024/12/23,retiro,2500,Compra en tienda
108,28/11/2024,deposito,-100,Ingreso de fin de año
111,2024/07/31,depósito,-500,Compra en tienda
117,2024-03-22,retiro,2500,Ingreso mensual
102,13/10/2024,compra,1000,Compra en tienda
113,2024/07/31,deposito,3000,Ingreso de fin de año
103,2024-04-10,retiro,2000,
114,2024/05/19,retiro,3000,Ingreso de fin de año
103,29/07/2024,retiro,2500,
106,2024/03/05,retiro,1000,
114,2024-08-30,compra,3000,Ingreso extra
109,2024/04/15,compra,2000,
101,2024/02/01,retiro,1500,
117,2024-10-14,compra,2000,Ingreso mensual
113,30-06-2024,deposito,3000,Ingreso mensual
114,06/05/2024,retiro,-100,Ingreso mensual
117,06/06/2024,compra,-500,Ingreso extra
110,31/03/2024,compra,2500,
115,12/08/2024,deposito,1000,Compra en tienda
109,25-02-2024,compra,1500,Ingreso de fin de año
104,28-10-2024,depósito,-500,Ingreso de fin de año
102,02/08/2024,retiro,-500,
111,2024-08-16,compra,0,
110,2024/02/04,deposito,1500,Compra en tienda
107,2024/12/07,retiro,3000,Ingreso extra
108,2024/05/13,retiro,0,
103,2024-07-05,deposito,1000,Ingreso mensual
116,10-06-2024,depósito,3000,Ingreso extra
101,31-01-2024,compra,0,Ingreso navideño
101,04/02/2024,retiro,2000,Ingreso mensual
109,2024-01-09,compra,0,Ingreso navideño
115,27-08-2024,compra,-100,Ingreso mensual
105,2024/10/06,compra,2000,Ingreso extra
102,02-06-2024,compra,2000,Ingreso mensual
117,24-04-2024,retiro,3000,Ingreso mensual
102,2024-05-09,compra,0,
109,2024/02/12,deposito,0,
111,2024/01/16,retiro,-100,Ingreso de fin de año
102,2024/02/05,compra,-500,
111,2024-09-12,compra,1500,Ingreso de fin de año
113,09-01-2024,compra,2000,Ingreso navideño
101,24-03-2024,deposito,2000,Ingreso navideño
120,05-08-2024,retiro,-100,Ingreso extra
104,2024-02-20,retiro,2000,Ingreso extra
116,2024/11/28,compra,2000,Ingreso extra
118,2024/12/16,compra,0,Ingreso extra
120,2024/06/20,compra,,Compra en tienda
